City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind,Country,Date
Bluff,-46.6,168.3333,54.01,54.01,68,95,24.29,NZ,1635713660
Segezha,63.7415,34.3222,40.46,40.46,94,100,7.2,RU,1635713660
Kumanovo,42.1322,21.7144,39.7,42.17,78,0,2.93,MK,1635713377
Faanui,-16.4833,-151.75,78.64,78.64,71,99,15.66,PF,1635713661
Hithadhoo,-0.6,73.0833,82.26,82.26,76,100,18.1,MV,1635713661
Beira,-19.8436,34.8389,74.98,74.98,72,38,11.88,MZ,1635713661
Kostomuksha,64.571,30.5767,39.6,39.6,97,100,5.53,RU,1635713662
Lázaro Cárdenas,17.9583,-102.2,83.62,83.62,70,100,7.38,MX,1635713625
East London,-33.0153,27.9116,66.09,66.09,82,89,12.84,ZA,1635713662
Kodino,63.7198,39.6447,39.42,39.42,99,100,1.68,RU,1635713663
Pevek,69.7008,170.3133,-0.63,-0.63,97,100,4.18,RU,1635713663
Geraldton,-28.7667,114.6,61.21,63.12,72,100,8.05,AU,1635713664
Āsosa,10.0667,34.5333,62.33,62.33,58,6,5.08,ET,1635713664
Arlit,18.7369,7.3853,83.61,83.61,18,0,7.38,NE,1635713664
Gizo Government Station,-8.103,156.8419,82.4,82.4,75,100,9.46,SB,1635713665
Butaritari,3.0707,172.7902,81.36,81.36,77,40,9.86,KI,1635713665
Ponta do Sol,32.6667,-17.1,71.94,74.03,82,59,6.8,PT,1635713584
Hasaki,35.7333,140.8333,56.16,57.29,84,99,9.42,JP,1635713665
Lebu,-37.6167,-73.65,57.34,57.34,77,96,8.66,CL,1635713666
Buritama,-21.0661,-50.1472,69.98,69.98,89,91,7.65,BR,1635713666
Soverato Marina,38.685,16.5499,64.35,64.35,87,100,3.96,IT,1635713667
Korla,41.7597,86.1469,47.75,47.75,30,11,4.72,CN,1635713667
Jamestown,42.097,-79.2353,53.51,54.3,75,40,10.0,US,1635713667
Lufilufi,-13.8745,-171.5986,83.79,83.98,75,91,15.84,WS,1635713668
Cabra,37.4725,-4.4421,64.63,68.4,89,98,5.01,ES,1635713668
Ilulissat,69.2167,-51.1,31.57,31.57,97,100,12.64,GL,1635713452
Araranguá,-28.9347,-49.4858,72.86,72.86,81,95,12.44,BR,1635713669
Mandera,3.9366,41.867,85.23,85.23,39,11,2.59,KE,1635713669
Kahului,20.8947,-156.47,83.1,85.26,64,2,5.99,US,1635713670
Wattegama,6.7989,81.4808,74.35,74.35,97,46,1.52,LK,1635713670
Ducheng,23.2373,111.5317,68.05,68.05,93,99,2.26,CN,1635713671
Okakarara,-20.5833,17.4333,71.96,71.96,13,13,11.72,NA,1635713671
Hokitika,-42.7167,170.9667,54.84,54.84,77,58,8.59,NZ,1635713582
Réo,12.3167,-2.4667,87.49,87.49,22,56,7.56,BF,1635713672
Borzya,50.3833,116.5167,24.8,24.8,38,16,5.88,RU,1635713672
Salalah,17.0151,54.0924,77.63,77.63,55,9,1.19,OM,1635713672
Praia,14.9215,-23.5087,77.54,77.54,88,90,12.66,CV,1635713673
Mehamn,71.0357,27.8492,33.71,33.98,79,47,21.36,NO,1635713673
Te Anau,-45.4167,167.7167,51.53,51.53,67,65,4.32,NZ,1635713673
Magadan,59.5667,150.8,7.86,7.86,64,4,7.49,RU,1635713674
Kapaa,22.0752,-159.319,79.45,82.18,68,3,1.01,US,1635713674
Hofn,64.2539,-15.2082,39.43,39.43,59,100,19.15,IS,1635713647
Dikson,73.5069,80.5464,6.98,6.98,93,100,11.86,RU,1635713675
Bad Bentheim,52.3167,7.1667,52.99,58.62,91,100,16.06,DE,1635713675
Kiama,-34.6833,150.8667,57.92,58.57,86,78,6.06,AU,1635713675
Acajutla,13.5928,-89.8275,83.64,83.64,64,72,8.08,SV,1635713676
Cedar City,37.6775,-113.0619,62.4,62.4,38,12,12.55,US,1635713613
Saint-Philippe,-21.3585,55.7679,68.7,69.39,86,33,10.0,RE,1635713676
Tamugan,7.2308,125.3764,72.84,72.84,93,96,0.54,PH,1635713677
Kudahuvadhoo,2.6708,72.8944,82.11,82.11,78,40,19.93,MV,1635713677
Shenandoah,30.4013,-91.0009,76.23,77.95,51,0,1.99,US,1635713677
Mackay,-21.15,149.2,78.49,78.78,78,90,20.71,AU,1635713678
Nanzhang,31.7765,111.8386,58.8,58.8,73,95,5.37,CN,1635713678
Bathsheba,13.2167,-59.5167,83.01,83.01,74,40,16.11,BB,1635713679
Hamilton,39.1834,-84.5333,61.12,62.98,69,24,4.0,US,1635713679
Madang,-5.2246,145.7966,78.03,78.03,89,100,2.84,PG,1635713679
Takoradze,4.8845,-1.7554,78.64,78.64,88,100,11.48,GH,1635713680
Tigil',57.8,158.6667,19.9,19.9,95,100,12.95,RU,1635713680
Grindavik,63.8424,-22.4338,36.07,36.07,75,20,27.63,IS,1635713680
Cherskiy,68.75,161.3,-2.0,-2.0,99,100,4.97,RU,1635713681
Mildura,-34.2,142.15,55.36,55.36,47,99,3.44,AU,1635713681
Japura,-0.3167,102.35,72.37,72.37,99,99,2.86,ID,1635713681
Sitka,57.0531,-135.33,46.29,46.29,71,1,4.61,US,1635713566
Uthal,25.8072,66.6219,75.72,75.72,44,0,1.52,PK,1635713682
Saint George,37.1041,-113.5841,76.28,81.07,30,1,3.0,US,1635713437
Hibbing,47.4272,-92.9377,34.99,37.85,80,75,11.5,US,1635713682
Thyborøn,56.6985,8.2124,52.41,54.21,89,100,28.79,DK,1635713683
Puerto Peñasco,31.3167,-113.5333,76.91,76.91,76,0,11.01,MX,1635713683
Novobirilyussy,56.9514,90.6661,33.19,33.19,97,100,9.78,RU,1635713683
Taoudenni,22.6783,-3.9836,84.31,84.31,17,0,9.91,ML,1635713684
Codrington,-38.2667,141.9667,48.31,48.31,88,8,4.79,AU,1635713684
Arraial do Cabo,-22.9661,-42.0278,71.46,71.56,94,75,12.66,BR,1635713684
Palmas,-10.2128,-48.3603,76.87,76.87,83,75,13.8,BR,1635713638
Bandundu Province,-3.3167,17.3667,72.72,72.72,94,100,2.82,CD,1635713685
Dayong,25.0209,118.2898,71.28,72.9,83,26,2.42,CN,1635713685
Campoverde,-8.4753,-74.8058,92.89,92.89,43,96,3.96,PE,1635713686
Ndélé,8.4109,20.6473,76.35,76.35,48,24,2.17,CF,1635713686
Angoche,-16.2325,39.9086,77.27,77.27,80,0,12.53,MZ,1635713686
Nabire,-3.3667,135.4833,74.93,74.93,92,90,2.26,ID,1635713687
Padang,-0.9492,100.3543,75.74,75.74,93,100,5.12,ID,1635713687
Eureka,40.8021,-124.1637,63.1,68.74,72,67,1.99,US,1635713546
Thompson,55.7435,-97.8558,33.96,33.96,75,75,9.22,CA,1635713687
Carnarvon,-24.8667,113.6333,66.27,66.27,72,90,18.41,AU,1635713688
Makakilo City,21.3469,-158.0858,80.37,82.62,60,20,0.0,US,1635713688
Dingle,10.9995,122.6711,74.89,74.89,90,100,7.56,PH,1635713689
Mahajanga,-15.7167,46.3167,75.22,75.22,83,20,4.61,MG,1635713689
Nuuk,64.1835,-51.7216,36.07,36.07,98,100,17.25,GL,1635713689
Stornoway,58.2093,-6.3865,49.26,50.94,87,75,24.16,GB,1635713663
Ignacio Zaragoza,28.3833,-107.2167,72.75,72.75,14,99,2.19,MX,1635713690
Alyangula,-13.8483,136.4192,76.87,76.87,100,58,0.0,AU,1635713690
Beloha,-25.1667,45.05,73.27,73.27,74,98,4.5,MG,1635713690
Lompoc,34.6391,-120.4579,67.15,72.79,64,1,11.5,US,1635713686
Adré,13.4667,22.2,83.41,83.41,21,76,11.61,TD,1635713691
Zhigansk,66.7697,123.3711,1.65,1.65,96,56,10.63,RU,1635713691
Troitsko-Pechorsk,62.7084,56.1964,25.0,25.0,96,100,6.4,RU,1635713693
Darhan,49.4867,105.9228,32.2,32.2,67,100,7.05,MN,1635713693
Forest,37.3638,-79.2897,61.77,65.32,60,75,1.01,US,1635713694
Marsá Maţrūḩ,31.3525,27.2453,73.29,73.29,42,74,15.32,EG,1635713694
Narkevychi,49.5172,26.6418,42.37,42.37,67,0,11.3,UA,1635713694
Touros,-5.1989,-35.4608,83.3,83.3,75,76,15.52,BR,1635713695
Svetlaya,46.5389,138.3297,40.53,40.53,88,100,5.75,RU,1635713695
Cam Ranh,11.9214,109.1591,76.96,76.96,88,20,3.44,VN,1635713695
Acapulco de Juárez,16.8634,-99.8901,83.07,83.07,74,74,6.38,MX,1635713638
Santa Isabel Rio Negro,-0.4139,-65.0192,85.37,85.37,68,90,1.19,BR,1635713696
Gogrial,8.5332,28.1004,76.93,76.93,66,19,4.94,SS,1635713696
Pokhara,28.2333,83.9833,58.62,58.62,78,73,3.6,NP,1635713697
San Cristobal,7.7669,-72.225,77.18,77.18,92,59,2.39,VE,1635713697
Rio Grande,-32.035,-52.0986,76.95,80.71,85,0,18.88,BR,1635713698
Whithorn,18.2604,-78.0378,79.86,79.86,85,75,1.59,JM,1635713698
Havelock,34.8791,-76.9013,69.75,72.05,64,1,10.0,US,1635713699
Severo-Kuril'sk,50.6789,156.125,34.27,34.27,64,99,27.34,RU,1635713699
Oksbøl,55.6268,8.2876,55.22,55.9,89,100,25.3,DK,1635713699
Ambilobe,-13.2,49.05,72.72,72.72,90,8,3.09,MG,1635713700
Lima,-12.0432,-77.0282,64.65,64.65,72,90,16.11,PE,1635713416
Portland,45.5234,-122.6762,59.67,63.63,40,20,3.0,US,1635713454
Bonavista,48.6499,-53.1147,48.2,48.2,92,63,14.14,CA,1635713701
São Filipe,14.8961,-24.4956,79.93,79.93,75,98,10.92,CV,1635713701
Port Lincoln,-34.7333,135.8667,59.7,59.7,63,0,8.99,AU,1635713702
Masuguru,-11.3667,38.4167,78.69,78.69,68,25,8.68,TZ,1635713702
Hastings,50.8552,0.5729,52.84,55.29,74,3,28.83,GB,1635713703
Saint Paul Harbor,57.79,-152.4072,42.44,42.44,93,100,9.06,US,1635713704
Flinders,-34.5833,150.8552,58.05,58.37,82,91,1.01,AU,1635713705
Shepsi,44.0361,39.1489,62.58,62.58,57,95,5.06,RU,1635713705
Clyde River,70.4692,-68.5914,17.4,17.4,89,100,5.57,CA,1635713706
Hīt,33.6416,42.8251,76.64,76.64,29,100,10.16,IQ,1635713706
Camacupa,-12.0167,17.4833,62.98,62.98,96,100,3.56,AO,1635713707
Tura,25.5198,90.2201,60.62,60.62,71,0,3.11,IN,1635713707
Kez,57.8979,53.7152,41.32,41.32,95,100,7.02,RU,1635713708
Pacific Grove,36.6177,-121.9166,62.04,68.29,70,20,3.0,US,1635713524
Upernavik,72.7868,-56.1549,32.79,32.79,98,100,20.2,GL,1635713708
Talaya,61.3833,152.75,-17.07,-17.07,100,93,1.7,RU,1635713708
Saldanha,-33.0117,17.9442,62.65,62.65,82,98,7.09,ZA,1635713709
Acaraú,-2.8856,-40.12,80.92,80.92,76,53,13.82,BR,1635713709
Leer,8.3018,30.1418,73.92,73.92,72,47,1.74,SS,1635713710
North Bend,43.4065,-124.2243,57.56,59.88,91,90,10.36,US,1635713710
Laguna,38.421,-121.4238,66.78,69.48,60,75,1.01,US,1635713710
Ushtobe,45.2514,77.9838,46.36,46.36,42,100,8.95,KZ,1635713711
Peniche,39.3558,-9.3811,68.54,71.08,95,97,17.11,PT,1635713711
Samokov,42.3333,23.55,36.46,40.03,89,13,3.58,BG,1635713659
Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,19.99,73,40,6.71,RU,1635713712
Henties Bay,-22.116,14.2845,59.86,59.86,89,0,7.45,NA,1635713712
Kemijärvi,66.7131,27.4306,35.4,35.4,98,100,8.21,FI,1635713712
Porto-Novo,6.4965,2.6036,84.02,84.02,87,100,6.44,BJ,1635713659
Daura,11.5538,11.4085,82.09,82.09,19,61,8.88,NG,1635713713
Strelka,58.0728,93.0344,33.39,33.39,98,100,7.9,RU,1635713713
Antalaha,-14.9003,50.2788,72.07,72.07,91,9,3.38,MG,1635713714
Ballina,-28.8667,153.5667,61.56,62.56,82,40,1.14,AU,1635713714
Honiara,-9.4333,159.95,82.74,82.74,74,39,2.33,SB,1635713714
Verkhnyaya Balkariya,43.1279,43.4573,38.32,38.32,81,100,7.94,RU,1635713715
Souillac,-20.5167,57.5167,71.98,71.98,83,75,3.44,MU,1635713715
Baní,18.2833,-70.3333,86.9,89.04,68,10,8.52,DO,1635713715
Juneau,58.3019,-134.4197,40.06,43.84,85,90,3.44,US,1635713716
Krasnosel'kup,65.7,82.4667,6.22,6.22,95,100,12.12,RU,1635713716
Krasnoborsk,61.5598,45.934,40.57,40.57,94,100,4.79,RU,1635713716
Lorengau,-2.0226,147.2712,81.3,81.3,81,100,14.52,PG,1635713717
Montevideo,-34.8335,-56.1674,63.18,64.11,94,90,21.99,UY,1635713717
São Domingos do Maranhão,-5.5758,-44.3853,84.76,84.76,51,97,4.65,BR,1635713718
Dukat,62.55,155.55,-17.12,-17.12,99,92,4.65,RU,1635713718
Bertoua,4.5833,13.6833,68.81,68.81,92,99,1.19,CM,1635713718
George Town,5.4112,100.3354,77.76,78.89,93,20,1.01,MY,1635713607
Saurimo,-9.6608,20.3916,64.63,64.63,86,95,3.22,AO,1635713719
Wanaka,-44.7,169.15,53.11,53.11,67,65,1.99,NZ,1635713719
Leh,34.1667,77.5833,25.38,25.38,55,100,2.08,IN,1635713720
Dwārka,22.2394,68.9678,79.63,79.63,53,2,6.29,IN,1635713720
Kavieng,-2.5744,150.7967,83.8,83.8,74,94,15.32,PG,1635713720
Meulaboh,4.1363,96.1285,75.42,75.42,89,100,4.36,ID,1635713721
Nouadhibou,20.931,-17.0347,73.38,73.38,68,2,10.36,MR,1635713721
Letterkenny,54.95,-7.7333,48.09,48.09,88,99,17.18,IE,1635713721
Celestún,20.8667,-90.4,79.45,79.45,55,3,10.96,MX,1635713722
Sehithwa,-20.4667,22.7167,85.5,85.5,18,1,5.75,BW,1635713722
Bethel,41.3712,-73.414,61.14,63.91,72,90,1.01,US,1635713564
Husavik,66.0449,-17.3389,33.71,33.71,99,100,21.72,IS,1635713723
Farah,32.5,62.5,53.78,53.78,38,0,4.72,AF,1635713723
Santa Fe,-31.6333,-60.7,90.0,90.75,38,99,4.0,AR,1635713519
Hambantota,6.1241,81.1185,78.13,78.13,88,48,3.69,LK,1635713723
Karratha,-20.7377,116.8463,71.58,71.58,64,0,7.38,AU,1635713569
Viedma,-40.8135,-62.9967,54.16,54.16,67,100,12.59,AR,1635713424
Caravelas,-17.7125,-39.2481,75.61,75.61,80,91,8.5,BR,1635713724
Tianpeng,30.9866,103.9393,55.87,55.87,73,83,2.8,CN,1635713724
Amboasary,-25.0333,46.3833,73.24,73.24,85,97,0.94,MG,1635713725
Fare,-16.7,-151.0167,78.35,78.35,74,96,15.97,PF,1635713725
Perth,-31.9333,115.8333,58.33,60.1,92,75,8.05,AU,1635713671
Luba,3.4568,8.5547,80.49,80.49,86,95,8.25,GQ,1635713726
West Bay,19.3667,-81.4167,82.51,84.27,67,75,1.01,KY,1635713726
Alice Springs,-23.7,133.8833,58.55,58.55,94,21,0.0,AU,1635713726
Auki,-8.7676,160.7034,79.92,79.92,83,75,4.09,SB,1635713646
Asău,46.4333,26.4,42.1,43.75,92,0,1.97,RO,1635713727
Yeppoon,-23.1333,150.7333,69.58,69.58,69,100,20.67,AU,1635713727
Povenets,62.8487,34.8262,41.11,41.11,96,100,6.4,RU,1635713728
Lagoa,39.05,-27.9833,69.58,69.58,87,100,4.99,PT,1635713657
Yangi Marg`ilon,40.4272,71.7189,43.52,44.02,70,1,4.61,UZ,1635713728
Vavoua,7.3819,-6.4778,74.32,74.32,85,65,3.18,CI,1635713728
Sergeevka,53.88,67.4158,38.95,38.95,89,100,12.41,KZ,1635713729
San Quintín,30.4833,-115.95,67.68,67.68,66,0,11.83,MX,1635713729
Klaksvík,62.2266,-6.589,41.92,41.92,64,100,3.06,FO,1635713729
Kursavka,44.4564,42.5093,45.41,45.41,94,87,10.13,RU,1635713730
Merced,37.1666,-120.7516,68.16,70.84,40,94,1.7,US,1635713492
Esperance,-33.8667,121.9,64.24,64.24,51,100,18.41,AU,1635713654
Taltal,-25.4,-70.4833,63.55,63.55,72,25,2.57,CL,1635713730
Jos,9.9167,8.9,68.56,68.56,35,97,1.92,NG,1635713656
Abonnema,4.7084,6.7931,77.2,77.2,87,25,6.33,NG,1635713731
Fortuna,40.5982,-124.1573,63.03,68.47,65,75,4.0,US,1635713731
Chui,-33.6971,-53.4616,69.04,69.04,84,45,10.02,UY,1635713732
Srednekolymsk,67.45,153.6833,-7.69,-7.69,99,97,6.87,RU,1635713732
Sistranda,63.7256,8.834,46.36,47.89,79,48,19.26,NO,1635713616
Pangnirtung,66.1451,-65.7125,28.4,28.4,100,90,0.0,CA,1635713733
Iracoubo,5.4802,-53.2011,80.15,80.15,79,63,8.93,GF,1635713733
Adrar,20.5022,-10.0711,86.63,86.63,13,98,7.78,MR,1635713733
Xuanwu,32.069,118.8138,55.35,56.8,73,96,3.31,CN,1635713734
Manacapuru,-3.2997,-60.6206,93.78,93.78,54,96,3.04,BR,1635713734
Deputatsky,69.3,139.9,-9.8,-9.8,83,100,2.21,RU,1635713734
Agüimes,27.9054,-15.4461,66.4,67.01,78,20,16.11,ES,1635713735
Kimbe,-5.5502,150.1429,79.07,79.07,85,92,3.78,PG,1635713735
Camaná,-16.6228,-72.7111,67.08,67.08,75,63,5.7,PE,1635713735
Huarmey,-10.0681,-78.1522,68.32,68.32,74,16,9.95,PE,1635713736
Gossaigaon,26.4481,89.989,63.34,63.34,76,0,3.06,IN,1635713736
Vila Franca do Campo,37.7167,-25.4333,71.2,71.2,93,99,9.64,PT,1635713737
Challans,46.8436,-1.8749,52.18,55.96,72,47,18.92,FR,1635713737
Turbat,26.0023,63.044,79.66,79.66,17,0,27.04,PK,1635713737
Chimbote,-9.0853,-78.5783,66.69,66.69,76,18,9.95,PE,1635713673
Escanaba,45.7453,-87.0646,46.27,47.93,49,75,18.41,US,1635713738
Buchanan,5.8808,-10.0467,78.76,78.76,86,91,7.0,LR,1635713738
Pangai,-19.8,-174.35,78.91,78.91,69,40,11.5,TO,1635713739
Beringovskiy,63.05,179.3167,6.4,6.4,91,97,12.88,RU,1635713739
Blairmore,49.6,-114.4353,27.82,30.38,86,0,0.0,CA,1635713739
Along,28.1667,94.7667,57.24,57.24,91,22,1.86,IN,1635713740
Vallenar,-28.5708,-70.7581,75.18,75.18,32,92,5.73,CL,1635713740
Cockburn Town,21.4612,-71.1419,84.16,84.16,65,20,0.0,TC,1635713601
Castaños,26.7833,-101.4167,84.34,84.34,47,0,8.12,MX,1635713741
Atar,20.5169,-13.0499,85.64,85.64,16,2,7.96,MR,1635713741
Bredasdorp,-34.5322,20.0403,60.12,60.12,82,100,3.44,ZA,1635713742
North Myrtle Beach,33.816,-78.68,71.42,74.28,61,0,1.99,US,1635713742
Leshukonskoye,64.8989,45.7622,31.24,31.24,85,100,7.23,RU,1635713742
Dodge City,37.7528,-100.0171,54.09,56.64,47,66,13.0,US,1635713743
Port Elizabeth,-33.918,25.5701,64.69,69.1,88,0,9.22,ZA,1635713743
Mabaruma,8.2,-59.7833,77.81,77.81,87,99,4.07,GY,1635713744
Pudozh,61.8099,36.5345,40.82,40.82,98,100,4.7,RU,1635713652
Gweru,-19.45,29.8167,69.42,69.42,60,14,9.51,ZW,1635713744
Hervey Bay,-25.2986,152.8535,72.03,72.03,65,40,18.39,AU,1635713745
